Date 		| Time 		| Blue Shrooms 	| Blue Bets | Red Shrooms 	| Red Bets 	| My Shrooms    | My Team 	| Winner
2019-04-22	| 03:33AM	| 24686  		| 24 		| 15463  		| 8 		| 799     		| red 		| blue
2019-04-22	| 04:02AM	| 15939  		| 13 		| 25965  		| 16 		| 566     		| blue 		| blue
2019-04-22	| 04:32AM	| 106247  		| 27 		| 6478  		| 12 		| 545     		| red 		| blue
2019-04-22	| 04:52AM	| 32302  		| 22 		| 8061  		| 11 		| 589     		| red 		| red
2019-04-22	| 05:32AM	| 28036  		| 22 		| 15267  		| 13 		| 698     		| red 		| blue
2019-04-22	| 05:57AM	| 7362  		| 7 		| 44027  		| 24 		| 574     		| blue 		| blue
2019-04-22	| 06:37AM	| 41225  		| 23 		| 11343  		| 12 		| 638     		| red 		| blue
2019-04-22	| 07:31AM	| 14840  		| 13 		| 39416  		| 24 		| 760     		| blue 		| blue
2019-04-22	| 08:04AM	| 21092  		| 10 		| 67366  		| 28 		| 901     		| blue 		| red
2019-04-22	| 08:26AM	| 40269  		| 19 		| 31106  		| 18 		| 1063     		| red 		| blue
2019-04-22	| 09:01AM	| 28790  		| 28 		| 56622  		| 22 		| 889     		| blue 		| red
2019-04-22	| 09:23AM	| 52637  		| 24 		| 43166  		| 12 		| 1268     		| blue 		| blue
2019-04-22	| 09:42AM	| 67967  		| 27 		| 24111  		| 15 		| 989     		| red 		| blue
2019-04-22	| 06:11PM	| 13334  		| 17 		| 62934  		| 22 		| 684     		| blue 		| red
2019-05-10	| 10:43AM	| 45169  		| 17 		| 179281  		| 22 		| 1300     		| blue 		| red
2019-05-10	| 11:12AM	| 190697  		| 23 		| 223921  		| 22 		| 1401     		| blue 		| red
2019-05-11	| 09:54AM	| 30666  		| 26 		| 114151  		| 33 		| 50000     	| red 		| red
2019-05-11	| 10:01AM	| 89669  		| 42 		| 24578  		| 21 		| 4000     		| blue 		| blue
2019-05-11	| 11:26AM	| 169845  		| 20 		| 102181  		| 43 		| 9000     		| blue 		| red
2019-05-11	| 12:19PM	| 226352  		| 32 		| 128983  		| 11 		| 1000     		| blue 		| red
2019-05-11	| 12:54PM	| 124163  		| 24 		| 295515  		| 28 		| 978     		| blue 		| red
2019-05-11	| 01:27PM	| 22472  		| 12 		| 251253  		| 41 		| 2345     		| red 		| red
2019-05-11	| 01:59PM	| 64207  		| 16 		| 65829  		| 21 		| 600     		| blue 		| red
